Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
9,F,5,F5,38.0,1,ERIVAG,D,37.0
9,F,6,F6,43.0,1,MOSSPP,D,42.0
9,F,7,F7,43.0,1,MOSSPP,D,42.0
9,F,8,F8,41.0,1,MOSSPP,A,40.0
9,G,3,G3,41.0,1,MOSSPP,A,40.0
9,G,4,G4,40.0,1,LICHEN,A,37.0
9,G,5,G5,41.0,1,MOSSPP,A,40.0
9,G,6,G6,42.0,1,MOSSPP,A,41.0
9,B,6,B6,45.0,2,MOSSPP,D,44.0
9,B,7,B7,44.0,2,LITTER,D,43.0
9,D,3,D3,37.5,2,MOSSPP,A,37.0
9,D,5,D5,30.0,2,ERIVAG,D,29.0
9,E,2,E2,37.0,2,MOSSPP,A,36.0
9,F,2,F2,38.0,2,MOSSPP,A,37.0
9,F,3,F3,39.0,2,MOSSPP,A,38.0
9,G,4,G4,40.0,2,MOSSPP,A,39.0
10,B,2,B2,36.0,1,MOSSPP,D,34.0
10,B,3,B3,33.0,1,ERIVAG,D,19.0
10,B,4,B4,32.0,1,LEDPAL,D,25.0
10,B,5,B5,31.0,1,ERIVAG,D,27.0
10,B,6,B6,34.0,1,VACVIT,D,31.0
10,B,7,B7,39.0,1,BETNAN,D,34.0
10,C,2,C2,31.0,1,MOSSPP,D,30.0
10,C,3,C3,28.0,1,LEDPAL,D,23.0
10,C,4,C4,29.0,1,LITTER,D,28.0
10,C,5,C5,32.0,1,LEDPAL,D,29.0
10,C,6,C6,35.0,1,LITTER,D,34.0
10,C,7,C7,38.0,1,MOSSPP,D,37.0
10,D,2,D2,34.0,1,LEDPAL,D,29.0
10,D,3,D3,27.0,1,LITTER,D,26.0
10,D,4,D4,27.0,1,MOSSPP,D,26.0
10,D,5,D5,30.0,1,LEDPAL,D,24.0
10,D,6,D6,30.0,1,LEDPAL,D,23.0
10,D,7,D7,32.0,1,SALSPP,D,27.5
10,D,8,D8,35.0,1,LEDPAL,D,31.0
10,E,2,E2,35.0,1,ERIVAG,D,31.0
10,E,3,E3,29.0,1,ERIVAG,D,24.0
